,case_number,country,area,sex,age,time,month,decade
556,2012.06.18,USA,North Carolina,F,6,morning,06,2010
557,2012.06.15,USA,Florida,M,23,afternoon,06,2010
558,2012.06.14.d,USA,South Carolina,F,18,afternoon,06,2010
559,2012.06.14.c,USA,South Carolina,M,27,afternoon,06,2010
560,2012.06.14.b,USA,South Carolina,M,27,afternoon,06,2010
561,2012.06.14.a,USA,South Carolina,M,16,afternoon,06,2010
562,2012.06.12,Australia,Victoria,M,42,morning,06,2010
563,2012.06.10,Italy,Sardinia,M,57,morning,06,2010
564,2012.06.03,Australia,New South Wales,M,30,afternoon,06,2010
565,2012.06.02.b,USA,Florida,F,12,unknown,06,2010
566,2012.06.02.a,USA,South Carolina,M,25,evening,06,2010
567,2012.05.31,USA,North Carolina,F,33,afternoon,05,2010
568,2012.05.29,Mexico,Guerrero,M,46,morning,05,2010
569,2012.05.23,USA,Florida,M,22,afternoon,05,2010
570,2012.05.20,USA,Hawaii,M,27,morning,05,2010
572,2012.05.12,USA,California,M,30,afternoon,05,2010
573,2012.05.09,USA,Florida,F,47,morning,05,2010
574,2012.05.06,USA,California,F,15,morning,05,2010
575,2012.04.19.b,USA,Florida,M,28,evening,04,2010
576,2012.04.19.a,South Africa,Western Cape Province,M,20,afternoon,04,2010
577,2012.04.11,Australia,South Australia,M,27,unknown,04,2010
578,2012.04.03,USA,Hawaii,M,28,afternoon,04,2010
579,2012.04.00,USA,Florida,M,27,unknown,04,2010
580,2012.03.31,Australia,Western Australia,M,33,morning,03,2010
581,2012.03.24,USA,Florida,M,21,afternoon,03,2010
583,2012.03.20,Australia,Queensland,M,20,afternoon,03,2010
584,2012.03.15,USA,Florida,M,61,afternoon,03,2010
585,2012.03.14.b,USA,Florida,F,15,afternoon,03,2010
586,2012.03.14.a,USA,Florida,M,17,afternoon,03,2010
587,2012.03.06.b,New Zealand,North Island,M,27,evening,03,2010
588,2012.03.06.a,Australia,Victoria,F,34,morning,03,2010
589,2012.03.05,Reunion,Saint-Benoit,M,31,afternoon,03,2010
590,2012.03.04,USA,Florida,M,19,afternoon,03,2010
591,2012.03.03,Saudi Arabia,Tabuk Province,M,42,unknown,03,2010
592,2012.03.01,Chile,Antofagasta Province,M,27,unknown,03,2010
593,2012.02.26,USA,Florida,M,27,afternoon,02,2010
594,2012.02.25,Australia,New South Wales,M,27,afternoon,02,2010
596,2012.02.06,Australia,Queensland,M,29,afternoon,02,2010
599,2012.01.19,Australia,Western Australia,M,26,afternoon,01,2010
600,2012.01.18.b,Taiwan,Taitung,M,24,unknown,01,2010
601,2012.01.18.a,Australia,New South Wales,M,44,afternoon,01,2010
602,2012.01.15,South Africa,Eastern Cape Province,M,25,afternoon,01,2010
603,2012.01.13,USA,Oregon,M,53,unknown,01,2010
604,2012.01.03,Australia,New South Wales,M,28,evening,01,2010
605,2012.01.02,Australia,Queensland,M,34,morning,01,2010
606,2011.12.31,USA,Florida,M,27,evening,12,2010
607,2011.12.26.R,Antigua,St John'S,M,27,morning,12,2010
608,2011.12.25,Ecuador,Santa Elena,M,23,evening,12,2010
609,2011.12.23,USA,Florida,M,27,afternoon,12,2010
610,2011.12.21.b,USA,Hawaii,M,27,unknown,12,2010
611,2011.12.21.a,South Africa,Eastern Cape Province,M,35,morning,12,2010
612,2011.12.11,Australia,New South Wales,M,51,night,12,2010
613,2011.12.07.b,South Africa,Kwazulu-Natal,M,27,unknown,12,2010
614,2011.12.07.a,Australia,New South Wales,M,14,unknown,12,2010
615,2011.12.06,USA,Oregon,F,27,morning,12,2010
617,2011.12.02,Australia,New South Wales,M,63,morning,12,2010
618,2011.11.29,Indonesia,Bali,M,18,afternoon,11,2010
619,2011.11.28,Australia,Queensland,M,10,afternoon,11,2010
620,2011.11.22,USA,California,M,27,unknown,11,2010
621,2011.11.20.R,Papua New Guinea,East New Britain,M,27,unknown,11,2010
622,2011.11.12,Brazil,Pernambuco,M,35,unknown,11,2010
623,2011.11.11,Reunion,Bois-Blanc,M,42,morning,11,2010
624,2011.10.29.,USA,California,M,27,unknown,10,2010
625,2011.10.28.R,Scotland,Moray,M,26,unknown,10,2010
627,2011.10.22,Australia,Western Australia,M,32,afternoon,10,2010
628,2011.10.20,USA,Oregon,M,41,unknown,10,2010
629,2011.10.19,Australia,Victoria,M,50,afternoon,10,2010
630,2011.10.11,USA,Florida,M,27,unknown,10,2010
631,2011.10.10,USA,Oregon,M,27,unknown,10,2010
632,2011.10.09,Australia,Western Australia,M,64,morning,10,2010
634,2011.10.02,USA,Florida,M,27,afternoon,10,2010
635,2011.10.01,USA,Alabama,M,29,unknown,10,2010
636,2011.09.30,USA,Puerto Rico,M,27,morning,09,2010
637,2011.09.28.b,Dominican Republic,Samaná Province,M,48,unknown,09,2010
638,2011.09.28.a,South Africa,Western Cape Province,M,43,afternoon,09,2010
639,2011.09.24.b,USA,Florida,M,21,afternoon,09,2010
640,2011.09.24.a,USA,South Carolina,M,5,morning,09,2010
641,2011.09.20,USA,Hawaii,M,27,afternoon,09,2010
642,2011.09.19,Reunion,Saint-Gilles,M,38,afternoon,09,2010
643,2011.09.17,Kenya,Coast Province,M,17,unknown,09,2010
644,2011.09.16,USA,Florida,M,25,morning,09,2010
645,2011.09.11.b,USA,California,M,37,afternoon,09,2010
646,2011.09.11.a,Papua New Guinea,Central Province,M,30,afternoon,09,2010
648,2011.09.04.a,Australia,Western Australia,M,21,afternoon,09,2010
649,2011.09.02,USA,Florida,M,19,morning,09,2010
650,2011.08.31,USA,Florida,M,19,morning,08,2010
651,2011.08.28.b,Australia,Queensland,M,48,evening,08,2010
652,2011.08.28.a,USA,Texas,F,39,evening,08,2010
653,2011.08.26,Russia,Primorsky Krai,M,27,morning,08,2010
654,2011.08.24.b,USA,North Carolina,M,21,unknown,08,2010
655,2011.08.24.a,USA,North Carolina,M,10,afternoon,08,2010
656,2011.08.23,South Africa,Western Cape Province,M,49,morning,08,2010
657,2011.08.18,Russia,"Peter The Great Bay, Khasan, Primorsky Krai Far East",M,16,unknown,08,2010
658,2011.08.17.c.,USA,North Carolina,F,20,afternoon,08,2010
659,2011.08.17.b.,USA,North Carolina,M,12,afternoon,08,2010
660,2011.08.17.a,Russia,"Telyakovsky Bay, Khasan, Primorsky Krai Far East",M,25,evening,08,2010
661,2011.08.16.c,French Polynesia,Society Islands,M,32,afternoon,08,2010
662,2011.08.16.b,USA,Puerto Rico,M,27,night,08,2010
663,2011.08.16.a,Seychelles,Praslin,M,30,afternoon,08,2010
664,2011.08.15,USA,South Carolina,M,7,unknown,08,2010
665,2011.08.11,USA,North Carolina,M,54,afternoon,08,2010
666,2011.08.01,Seychelles,Praslin,M,36,afternoon,08,2010
667,2011.07.31,Brazil,Pernambuco,M,14,unknown,07,2010
669,2011.07.25,USA,New Jersey,M,27,night,07,2010
670,2011.07.22,South Africa,Eastern Cape Province,M,29,morning,07,2010
671,2011.07.19,USA,North Carolina,F,6,afternoon,07,2010
672,2011.07.15,Reunion,Saint-Gilles,M,27,afternoon,07,2010
673,2011.07.13.b,USA,Texas,M,27,evening,07,2010
674,2011.07.13.a,Bahamas,Grand Bahama Island,M,54,afternoon,07,2010
675,2011.07.07.b,USA,Texas,M,12,afternoon,07,2010
676,2011.07.07.a,USA,Texas,M,14,unknown,07,2010
677,2011.07.06,Reunion,Saint-Gilles,M,16,afternoon,07,2010
678,2011.07.05,Columbia,Sucre,M,17,morning,07,2010
679,2011.06.30,Turks & Caicos,Middle Caicos,M,28,afternoon,06,2010
680,2011.06.29,Brazil,Pernambuco,M,21,morning,06,2010
681,2011.06.28,South Africa,Kwazulu-Natal,M,22,afternoon,06,2010
682,2011.06.26,USA,North Carolina,F,10,afternoon,06,2010
683,2011.06.24,USA,California,M,27,afternoon,06,2010
684,2011.06.21,USA,Florida,M,20,afternoon,06,2010
685,2011.06.19.b,Turks & Caicos,Caicos Bank,M,35,unknown,06,2010
686,2011.06.19.a,Costa Rica,Guanacaste,M,15,afternoon,06,2010
687,2011.06.15,Reunion,Saint-Gilles-Les-Bains,M,31,afternoon,06,2010
689,2011.06.12,USA,Florida,M,28,afternoon,06,2010
690,2011.06.06.R,Columbia,San Andrés Archipelago,M,24,unknown,06,2010
691,2011.06.06.b,USA,California,M,28,unknown,06,2010
692,2011.06.06.a,USA,Florida,M,19,afternoon,06,2010
693,2011.06.01,Malaysia,Kedah,F,27,unknown,06,2010
694,2011.05.30,USA,Texas,F,22,afternoon,05,2010
695,2011.05.29,South Africa,Western Cape Province,M,33,unknown,05,2010
696,2011.05.25,USA,Hawaii,F,27,afternoon,05,2010
697,2011.05.22,USA,Hawaii,F,27,afternoon,05,2010
698,2011.05.21.a,New Caledonia,North Province,M,15,morning,05,2010
699,2011.05.21.b,South Africa,Kwazulu-Natal,M,28,afternoon,05,2010
700,2011.05.13.b,USA,Florida,M,86,afternoon,05,2010
701,2011.05.13.a,USA,Florida,M,37,morning,05,2010
702,2011.05.10,USA,Florida,M,27,unknown,05,2010
703,2011.05.07.R,United Arab Emirates,Umm Al Qaywayan Province,M,43,unknown,05,2010
704,2011.05.04,South Africa,Kwazulu-Natal,M,37,unknown,05,2010
705,2011.04.26,USA,Florida,M,32,unknown,04,2010
706,2011.04.23,Australia,Western Australia,M,17,afternoon,04,2010
707,2011.04.22,USA,Florida,M,49,afternoon,04,2010
708,2011.04.16,New Zealand,South Island,M,41,afternoon,04,2010
709,2011.04.12,Indonesia,Bali,M,27,morning,04,2010
710,2011.04.08,Fiji,Vitu Levu,M,27,afternoon,04,2010
711,2011.03.29.R,USA,Texas,M,27,unknown,03,2010
712,2011.03.24,Mexico,Quintana Roo,F,27,unknown,03,2010
713,2011.03.23,Australia,New South Wales,M,48,afternoon,03,2010
714,2011.03.21.b,Mexico,Quintana Roo,M,46,unknown,03,2010
716,2011.03.16,Australia,New South Wales,F,24,afternoon,03,2010
717,2011.03.10.R,Egypt,South Sinai Peninsula,F,27,unknown,03,2010
718,2011.03.10,Australia,New South Wales,M,27,unknown,03,2010
719,2011.02.28.R,Australia,Queensland,M,36,morning,02,2010
720,2011.02.23,New Caledonia,Loyalty Islands,M,21,afternoon,02,2010
721,2011.02.19,Reunion,Saint Gilles,M,32,evening,02,2010
722,2011.02.17,Australia,South Australia,M,49,evening,02,2010
723,2011.02.13,Australia,Queensland,M,27,morning,02,2010
724,2011.02.12,Australia,Western Australia,M,58,afternoon,02,2010
725,2011.02.04.R,Mexico,Colima,M,27,unknown,02,2010
726,2011.02.02,South Africa,Eastern Cape Province,M,37,unknown,02,2010
727,2011.01.31,Mexico,Quintana Roo,F,38,afternoon,01,2010
728,2011.01.28,Mexico,Colima,M,25,unknown,01,2010
729,2011.01.26,Bahamas,West End,M,55,afternoon,01,2010
730,2011.01.20,Australia,New South Wales,F,7,afternoon,01,2010
731,2011.01.15,South Africa,Eastern Cape Province,M,16,afternoon,01,2010
732,2011.01.12.R,Mexico,Quintana Roo,M,37,unknown,01,2010
734,2010.12.26,USA,Hawaii,M,16,afternoon,12,2000
735,2010.12.17,Fiji,Vitu Levu,M,27,morning,12,2000
736,2010.12.11,USA,Hawaii,M,46,afternoon,12,2000
737,2010.12.05,Egypt,South Sinai Peninsula,F,70,afternoon,12,2000
738,2010.12.03.R,Indonesia,Bali,M,27,unknown,12,2000
