,case_number,country,area,sex,age,time,month,decade
2755,1982.06.26.a,Bahamas,Andros Islands,M,19,unknown,06,1980
2756,1982.06.25,USA,Florida,F,8,morning,06,1980
2757,1982.06.13,USA,Hawaii,M,27,unknown,06,1980
2758,1982.05.00,USA,South Carolina,F,33,unknown,05,1980
2759,1982.03.10,USA,Florida,M,16,afternoon,03,1980
2760,1982.03.07,Australia,New South Wales,M,20,afternoon,03,1980
2762,1982.02.28,Australia,Tasmania,M,32,unknown,02,1980
2763,1982.02.27,USA,Florida,M,18,unknown,02,1980
2764,1982.02.17,South Africa,Western Cape Province,M,27,unknown,02,1980
2765,1982.02.14.b,USA,Hawaii,F,27,unknown,02,1980
2766,1982.02.14.a,USA,Hawaii,F,27,unknown,02,1980
2767,1982.02.13,USA,Florida,F,75,unknown,02,1980
2768,1982.02.07.a,USA,California,M,27,morning,02,1980
2769,1982.02.07..b,USA,Florida,M,29,unknown,02,1980
2770,1982.01.29,South Africa,Eastern Cape Province,M,20,afternoon,01,1980
2771,1982.00.00.c,Italy,Tyrrhenian Sea,M,27,unknown,unknown,1980
2772,1982.00.00.b,Italy,Tyrrhenian Sea,M,27,unknown,unknown,1980
2774,1981.12.19,USA,California,M,24,evening,12,1980
2776,1981.12.13.a,USA,Hawaii,M,27,unknown,12,1980
2777,1981.11.30,Reunion,Saint-Philippe,M,27,afternoon,11,1980
2778,1981.10.19.b,South Africa,Western Cape Province,M,27,unknown,10,1980
2779,1981.11.09,USA,Hawaii,M,59,unknown,11,1980
2780,1981.10.19.a,USA,Florida,M,19,morning,10,1980
2781,1981.10.17,USA,Florida,M,27,morning,10,1980
2782,1981.10.16,USA,Florida,M,17,unknown,10,1980
2783,1981.10.01,USA,Florida,M,24,unknown,10,1980
2784,1981.09.28,USA,Florida,M,28,evening,09,1980
2786,1981.09.15,USA,Florida,M,26,unknown,09,1980
2787,1981.09.03.b,USA,Florida,M,25,afternoon,09,1980
2788,1981.09.03.a,USA,Florida,M,24,morning,09,1980
2789,1981.08.29,USA,Florida,M,15,unknown,08,1980
2790,1981.08.24.b,USA,Florida,M,19,unknown,08,1980
2791,1981.08.24.a,USA,Hawaii,M,27,unknown,08,1980
2792,1981.08.10.b,USA,Florida,M,27,unknown,08,1980
2793,1981.08.10.a,USA,Florida,F,19,afternoon,08,1980
2794,1981.08.07,Bahamas,Grand Bahama Island,M,53,afternoon,08,1980
2795,1981.07.20,USA,Florida,F,16,unknown,07,1980
2796,1981.07.18,South Africa,Eastern Cape Province,M,32,morning,07,1980
2797,1981.07.07,USA,Florida,M,27,evening,07,1980
2798,1981.07.01,South Africa,Kwazulu-Natal,M,27,unknown,07,1980
2800,1981.06.12,USA,Hawaii,M,27,unknown,06,1980
2801,1981.05.24,USA,Hawaii,M,27,unknown,05,1980
2802,1981.05.23,South Korea,Chungnam,F,27,afternoon,05,1980
2803,1981.05.20,South Africa,Eastern Cape Province,M,27,morning,05,1980
2804,1981.05.19,USA,Florida,M,32,unknown,05,1980
2805,1981.05.16,USA,Florida,M,27,unknown,05,1980
2806,1981.05.10,South Africa,Eastern Cape Province,M,19,afternoon,05,1980
2807,1981.05.07,Namibia,Eronogo Region,M,27,unknown,05,1980
2809,1981.05.05,South Africa,Eastern Cape Province,M,24,morning,05,1980
2810,1981.03.25,USA,Florida,M,19,afternoon,03,1980
2811,1981.03.24,USA,Florida,M,24,afternoon,03,1980
2812,1981.03.04,Chile,Coquimbo,M,27,morning,03,1980
2814,1981.02.19,South Africa,Kwazulu-Natal,M,30,afternoon,02,1980
2815,1981.02.16,Australia,Western Australia,M,27,unknown,02,1980
2817,1981.02.02,USA,Florida,M,15,afternoon,02,1980
2819,1981.01.30,USA,Florida,M,25,unknown,01,1980
2820,1981.01.01,South Africa,Kwazulu-Natal,M,23,unknown,01,1980
2821,1981.00.00.b,Australia,New South Wales,M,27,morning,unknown,1980
2822,1981.00.00.a,Greece,Pagasitikos Gulf,M,27,unknown,unknown,1980
2823,1980.12.30,South Africa,Eastern Cape Province,M,25,afternoon,unknown,1970
2825,1980.11.24,Reunion,Grand'Anse,M,22,afternoon,11,1970
2826,1980.11.18,Australia,Western Australia,M,27,unknown,11,1970
2827,1980.11.17,South Africa,Kwazulu-Natal,M,27,unknown,11,1970
2828,1980.11.11.,Brazil,Pernambuco,M,16,unknown,11,1970
2829,1980.10.27,USA,Oregon,M,29,afternoon,10,1970
2830,1980.10.17,USA,California,M,19,morning,10,1970
2832,1980.08.10,USA,North Carolina,F,10,unknown,08,1970
2833,1980.08.04,USA,Hawaii,M,27,unknown,08,1970
2834,1980.07.26,Spain,Canary Islands,M,27,unknown,07,1970
2835,1980.07.27,USA,New Jersey,M,15,afternoon,07,1970
2836,1980.07.23,USA,Delaware,F,22,afternoon,07,1970
2837,1980.07.00,USA,North Carolina,M,27,unknown,07,1970
2839,1980.06.26,USA,California,F,44,unknown,06,1970
2840,1980.05.15,South Africa,Eastern Cape Province,M,22,morning,05,1970
2841,1980.04.25,Jamaica,St. Mary'S Parish,M,27,unknown,04,1970
2843,1980.04.00,Mexico,Sinaloa,F,13,afternoon,04,1970
2844,1980.03.29,South Africa,Kwazulu-Natal,M,52,unknown,03,1970
2845,1980.03.28,Brazil,Rio De Janeiro,M,27,afternoon,03,1970
2847,1980.03.11,South Africa,Western Cape Province,M,61,unknown,03,1970
2848,1980.01.31,South Africa,Kwazulu-Natal,M,24,afternoon,01,1970
2849,1980.01.25,Kenya,Lamu Archipelago,M,29,unknown,01,1970
2850,1980.01.15,South Africa,Kwazulu-Natal,M,29,night,01,1970
2851,1980.01.13,South Africa,Eastern Cape Province,M,27,unknown,01,1970
2852,1980.01.10,South Africa,Eastern Cape Province,M,25,evening,01,1970
2853,1980.01.05,Chile,Los Vilos,M,27,morning,01,1970
2855,1980.00.00.c,Greece,Island Of Kos,M,27,unknown,unknown,1970
2856,1980.00.00.b,South Africa,Eastern Cape Province,M,20,afternoon,unknown,1970
2857,1980.00.00.a,Tonga,Ha'Api,M,20,morning,unknown,1970
2858,1979.12.21,South Africa,Eastern Cape Province,M,18,afternoon,12,1970
2859,1979.12.00,Portugal,Madeira Islands,M,19,unknown,12,1970
2861,1979.11.27,USA,Oregon,M,20,morning,11,1970
2863,1979.10.22,South Africa,Eastern Cape Province,M,27,unknown,10,1970
2864,1979.09.14,Australia,New South Wales,M,18,unknown,09,1970
2866,1979.08.26,Hong Kong,Ho Ha Wan Marine Park,M,16,unknown,08,1970
2867,1979.08.05,USA,Florida,M,49,unknown,08,1970
2868,1979.08.03,Thailand,Southern Thailand,M,27,unknown,08,1970
2869,1979.06.19,USA,Florida,M,56,morning,06,1970
2870,1979.05.27,USA,Florida,M,36,unknown,05,1970
2871,1979.05.05,South Africa,Western Cape Province,M,25,afternoon,05,1970
2872,1979.05.03,South Africa,Kwazulu-Natal,M,27,unknown,05,1970
2874,1979.05.00.b,New Caledonia,North Province,M,27,unknown,05,1970
2875,1979.04.08.b,USA,Florida,M,24,afternoon,04,1970
2876,1979.04.08.a,USA,Florida,M,8,morning,04,1970
2877,1979.03.24,USA,Florida,M,27,morning,03,1970
2878,1979.03.11,USA,California,M,27,morning,03,1970
2880,1979.03.00,New Caledonia,Grand Terre,M,27,unknown,03,1970
2881,1979.02.21,South Africa,Eastern Cape Province,M,19,afternoon,02,1970
2882,1979.00.00,USA,Hawaii,M,27,unknown,unknown,1970
2883,1978.12.29,Australia,Queensland,M,27,unknown,12,1970
2884,1978.12.12,South Africa,Kwazulu-Natal,M,23,afternoon,12,1970
2885,1978.11.26,USA,Hawaii,M,27,unknown,11,1970
2886,1978.11.23,USA,Florida,M,17,unknown,11,1970
2887,1978.10.21,South Africa,Kwazulu-Natal,M,27,evening,10,1970
2888,1978.09.27,South Africa,Western Cape Province,M,27,afternoon,09,1970
2889,1978.09.16,Italy,Tyrrhenian Sea,M,27,morning,09,1970
2890,1978.09.02.R,Australia,Tasmania,M,34,unknown,09,1970
2891,1978.08.05,USA,California,M,27,afternoon,08,1970
2892,1978.08.01.R,USA,Florida,M,27,unknown,08,1970
2893,1978.07.27,USA,South Carolina,M,39,unknown,07,1970
2894,1978.07.19,USA,California,M,27,unknown,07,1970
2895,1978.06.21.b,USA,Florida,M,20,unknown,06,1970
2896,1978.06.21.a,USA,Florida,M,17,unknown,06,1970
2898,1978.04.02.b,Marshall Islands,Ralik Archipelago,M,25,unknown,04,1970
2899,1978.04.02.a,Marshall Islands,Ralik Archipelago,M,23,unknown,04,1970
2900,1978.04.00,Australia,Tasmania,M,27,unknown,04,1970
2903,1978.02.19,South Africa,Western Cape Province,M,27,unknown,02,1970
2904,1978.01.17,South Africa,Kwazulu-Natal,M,17,afternoon,01,1970
2905,1978.01.06,South Africa,Kwazulu-Natal,M,27,unknown,01,1970
2906,1978.00.00.b,USA,Florida,F,27,unknown,unknown,1970
2907,1978.00.00.a,Vanuatu,Malampa Province,F,27,unknown,unknown,1970
2908,1977.12.31,USA,Hawaii,M,49,night,12,1970
2909,1977.12.19.b,USA,Florida,M,27,unknown,12,1970
2910,1977.12.19.a,South Africa,Eastern Cape Province,M,18,morning,12,1970
2912,1977.11.12,South Africa,Western Cape Province,M,27,unknown,11,1970
2913,1977.10.30,South Africa,Western Cape Province,M,25,afternoon,10,1970
2914,1977.08.31,Australia,South Australia,M,17,afternoon,08,1970
2915,1977.08.23,Australia,Queensland,M,25,unknown,08,1970
2916,1977.08.19,South Africa,Western Cape Province,M,27,afternoon,08,1970
2917,1977.08.14,USA,California,M,20,morning,08,1970
2918,1977.08.05,USA,Florida,M,17,afternoon,08,1970
2919,1977.07.02,USA,California,M,21,night,07,1970
2920,1977.06.26,USA,Florida,M,27,afternoon,06,1970
2921,1977.06.06,USA,Texas,M,25,unknown,06,1970
2922,1977.05.26,South Africa,Western Cape Province,M,27,unknown,05,1970
2923,1977.05.16,Australia,Queensland,M,27,unknown,05,1970
2924,1977.04.26,Australia,Queensland,M,27,unknown,04,1970
2925,1977.04.21,USA,Hawaii,M,27,unknown,04,1970
2926,1977.03.17,South Africa,Western Cape Province,M,31,afternoon,03,1970
2927,1977.03.13.c,Australia,Queensland,M,32,unknown,03,1970
2928,1977.03.13.b,Australia,Queensland,M,74,unknown,03,1970
2929,1977.03.13.a,Australia,Queensland,M,45,unknown,03,1970
2930,1977.02.26,Australia,New South Wales,M,24,unknown,02,1970
2931,1977.02.04,Australia,Victoria,M,27,unknown,02,1970
2933,1977.01.00,Mexico,Guerrero,M,27,afternoon,01,1970
2934,1976.12.29,Australia,Queensland,M,27,unknown,12,1970
2935,1976.12.18,USA,California,M,29,morning,12,1970
2936,1976.11.27,South Africa,Western Cape Province,M,19,afternoon,11,1970
2938,1976.11.25,USA,Florida,M,19,morning,11,1970
2939,1976.11.23,South Africa,Kwazulu-Natal,M,17,unknown,11,1970
2942,1976.10.18,USA,California,M,25,afternoon,10,1970
2943,1976.10.06,South Africa,Eastern Cape Province,M,20,morning,10,1970
2945,1976.09.19,Australia,South Australia,M,27,unknown,09,1970
2946,1976.09.17,Hong Kong,South China Sea 200 Miles From Hong Kong,M,27,unknown,09,1970
2947,1976.09.12.b,USA,Florida,M,16,unknown,09,1970
2948,1976.09.12.a,USA,Florida,M,27,unknown,09,1970
2949,1976.09.06,USA,Florida,M,15,afternoon,09,1970
2950,1976.08.26,USA,North Carolina,M,23,unknown,08,1970
2951,1976.08.24,USA,Oregon,M,19,afternoon,08,1970
2952,1976.07.24,USA,Florida,M,24,morning,07,1970
2953,1976.07.21,USA,Louisiana,M,10,unknown,07,1970
2954,1976.07.16,USA,Hawaii,M,18,unknown,07,1970
2955,1976.07.12,USA,Florida,M,23,unknown,07,1970
2956,1976.06.23,USA,Florida,M,17,night,06,1970
2957,1976.06.10,USA,Hawaii,M,27,unknown,06,1970
2958,1976.06.02.R,Italy,Reggio Calabria Province,M,46,unknown,06,1970
2959,1976.06.01,Australia,Queensland,F,27,unknown,06,1970
2962,1976.03.12.b,USA,Florida,M,24,afternoon,03,1970
2968,1976.01.12,Australia,Queensland,F,27,unknown,01,1970
2970,1976.01.08,USA,Florida,M,25,unknown,01,1970
2971,1976.01.02,New Zealand,North Island,M,27,afternoon,01,1970
2972,1976.00.00.b,USA,Hawaii,M,27,unknown,unknown,1970
2974,1975.12.06,USA,California,M,27,afternoon,12,1970
2975,1975.12.02,Australia,New South Wales,M,35,unknown,12,1970
2976,1975.11.19.b,Australia,New South Wales,M,20,unknown,11,1970
2977,1975.11.19.a,South Africa,Kwazulu-Natal,M,33,morning,11,1970
2978,1975.11.07,Australia,Queensland,M,27,unknown,11,1970
2979,1975.11.02,USA,Florida,M,18,unknown,11,1970
2980,1975.10.21,USA,New Jersey,M,27,morning,10,1970
2981,1975.10.12,Australia,New South Wales,M,20,unknown,10,1970
2983,1975.09.00,South Africa,Kwazulu-Natal,M,21,unknown,09,1970
2984,1975.08.17,South Africa,Eastern Cape Province,M,19,afternoon,08,1970
2985,1975.08.12,USA,Florida,M,20,afternoon,08,1970
2986,1975.08.09,USA,California,M,44,afternoon,08,1970
2987,1975.08.04,Hong Kong,Mirs Bay,M,24,unknown,08,1970
2988,1975.07.30.b,USA,Oregon,F,62,unknown,07,1970
2989,1975.07.30.a,Australia,Tasmania,M,37,afternoon,07,1970
2990,1975.07.26.b,USA,Florida,M,24,unknown,07,1970
2991,1975.07.26.a,Australia,Queensland,M,21,unknown,07,1970
2992,1975.07.23,USA,California,M,23,afternoon,07,1970
2993,1975.07.19,USA,California,M,34,afternoon,07,1970
2994,1975.07.15,USA,Florida,F,14,morning,07,1970
2995,1975.07.05,Australia,Western Australia,M,29,unknown,07,1970
2996,1975.07.04,USA,Florida,M,16,unknown,07,1970
2997,1975.06.23.b,USA,South Carolina,M,18,afternoon,06,1970
2998,1975.06.23.a,USA,South Carolina,F,15,afternoon,06,1970
2999,1975.06.15,USA,Alabama,M,27,unknown,06,1970
3000,1975.06.02.R,USA,Florida,M,20,unknown,06,1970
3001,1975.06.00.c,USA,Florida,M,27,unknown,06,1970
3002,1975.05.25,USA,Florida,M,17,morning,05,1970
3003,1975.05.20,USA,Florida,F,10,unknown,05,1970
3004,1975.04.25,Italy,Genoa Province,M,37,unknown,04,1970
3005,1975.04.18,South Africa,Kwazulu-Natal,M,27,unknown,04,1970
3006,1975.04.05,South Africa,Western Cape Province,M,27,afternoon,04,1970
3007,1975.03.29,South Africa,Kwazulu-Natal,M,27,unknown,03,1970
3008,1975.03.18,Australia,Queensland,F,27,unknown,03,1970
3009,1975.03.16,USA,Florida,M,14,unknown,03,1970
3011,1975.03.09,South Africa,Western Cape Province,M,27,unknown,03,1970
3013,1975.02.23,South Africa,Kwazulu-Natal,M,16,morning,02,1970
3015,1975.02.10,Australia,South Australia,M,12,evening,02,1970
3016,1975.02.09,Australia,Victoria,M,45,unknown,02,1970
3017,1975.02.07,Australia,Queensland,M,27,unknown,02,1970
3018,1975.02.01,South Africa,Western Cape Province,M,12,unknown,02,1970
3019,1975.01.19,Australia,South Australia,M,17,unknown,01,1970
3023,1974.11.01,USA,Florida,M,24,afternoon,11,1970
3024,1974.09.28,USA,California,M,17,morning,09,1970
3025,1974.09.14,USA,California,M,29,afternoon,09,1970
3026,1974.09.07,Israel,Red Sea,F,20,afternoon,09,1970
3027,1974.09.02.b,USA,California,M,41,afternoon,09,1970
3028,1974.09.02.a,USA,California,M,48,afternoon,09,1970
3029,1974.09.01,Australia,Queensland,M,30,unknown,09,1970
3030,1974.09.00,USA,Oregon,M,24,morning,09,1970
3031,1974.08.23,Hong Kong,Mirs Bay,M,22,unknown,08,1970
3032,1974.08.16.c,Hong Kong,Mirs Bay,M,27,unknown,08,1970
3033,1974.08.16.b,Hong Kong,Mirs Bay,M,19,unknown,08,1970
3034,1974.08.16.a,Hong Kong,Mirs Bay,M,18,unknown,08,1970
3035,1974.08.10,Croatia,Split-Dalmatia County,M,21,afternoon,08,1970
3036,1974.08.05,USA,California,M,27,unknown,08,1970
3037,1974.07.26,USA,California,M,36,unknown,07,1970
3038,1974.07.20,USA,Georgia,M,17,unknown,07,1970
3039,1974.07.02,USA,Florida,M,10,unknown,07,1970
3040,1974.06.20,USA,Florida,F,61,morning,06,1970
3041,1974.05.26,USA,California,M,45,morning,05,1970
3043,1974.04.20,South Africa,Western Cape Province,M,22,afternoon,04,1970
3044,1974.04.14,South Africa,Eastern Cape Province,M,19,afternoon,04,1970
3045,1974.04.12,USA,Florida,F,11,unknown,04,1970
3046,1974.04.04,South Africa,Kwazulu-Natal,M,17,afternoon,04,1970
3047,1974.03.21,South Africa,Kwazulu-Natal,M,21,afternoon,03,1970
3049,1974.02.13.b,South Africa,Kwazulu-Natal,M,14,evening,02,1970
3050,1974.02.13.a,South Africa,Kwazulu-Natal,M,19,evening,02,1970
3053,1974.01.13,South Africa,Kwazulu-Natal,M,42,unknown,01,1970
3054,1974.01.09,Australia,South Australia,M,26,unknown,01,1970
3055,1974.01.07.c,South Africa,Kwazulu-Natal,M,33,afternoon,01,1970
3056,1974.01.07.b,Mozambique,Gaza,M,27,unknown,01,1970
3057,1974.01.07.a,Mozambique,Gaza,M,32,unknown,01,1970
3058,1974.00.00.b,Australia,Western Australia,M,27,unknown,unknown,1970
3060,1973.12.25,Mozambique,Gaza,M,41,morning,12,1970
3061,1973.12.21.b,Mozambique,Gaza,M,20,afternoon,12,1970
3062,1973.12.19.R,Philippines,Luzon,M,19,unknown,12,1970
3063,1973.12.18,USA,Hawaii,M,27,unknown,12,1970
3064,1973.12.00,Mexico,Guerrero,M,20,afternoon,12,1970
3066,1973.11.24,USA,Florida,M,13,afternoon,11,1970
3069,1973.09.14,Bahamas,Grand Bahama Island,M,11,afternoon,09,1970
3070,1973.09.10.R,Hong Kong,Mirs Bay,M,20,unknown,09,1970
3071,1973.09.09,Mexico,Baja California,M,37,afternoon,09,1970
3072,1973.09.00,Egypt,Red Sea,M,27,unknown,09,1970
3074,1973.08.25,Australia,Queensland,M,16,unknown,08,1970
3075,1973.08.16,USA,Virginia,M,17,unknown,08,1970
3077,1973.04.04,Mexico,Guerrero,M,45,evening,04,1970
3078,1973.03.26,Australia,Queensland,M,27,unknown,03,1970
3079,1973.03.05,Mozambique,Gaza,M,28,morning,03,1970
3080,1973.03.00,South Africa,Kwazulu-Natal,M,26,morning,03,1970
3082,1973.01.21,South Africa,Kwazulu-Natal,M,27,unknown,01,1970
3083,1973.01.09,USA,Hawaii,M,27,unknown,01,1970
3084,1973.00.00.c,Palau,Aulong Island,M,27,unknown,unknown,1970
3085,1973.00.00.b,Palau,Western Caroline Islands,M,27,unknown,unknown,1970
3086,1973.00.00.a,South Africa,Eastern Cape Province,M,13,morning,unknown,1970
3087,1972.12.31,South Africa,Western Cape Province,M,29,afternoon,12,1970
3088,1972.12.26,Mozambique,Gaza,M,25,afternoon,12,1970
3089,1972.12.25,Mexico,Guerrero,M,17,afternoon,12,1970
3090,1972.12.24,South Africa,Western Cape Province,M,27,morning,12,1970
3091,1972.12.22,Australia,Queensland,M,27,unknown,12,1970
3094,1972.10.22,Australia,Queensland,M,24,unknown,10,1970
3095,1972.10.21,Australia,New South Wales,M,19,unknown,10,1970
3096,1972.10.14.b,USA,Us Virgin Islands,M,27,unknown,10,1970
3097,1972.10.14.a,USA,Florida,M,17,unknown,10,1970
3098,1972.10.10.R,New Zealand,North Island,M,17,unknown,10,1970
3099,1972.09.09,USA,California,M,27,morning,09,1970
3100,1972.09.04,Mozambique,Maputo Province,F,20,unknown,09,1970
3101,1972.08.29,USA,Florida,M,15,evening,08,1970
3102,1972.08.17,USA,Hawaii,M,27,unknown,08,1970
3103,1972.08.08,Australia,Tasmania,M,45,unknown,08,1970
3105,1972.06.26.b,Australia,Queensland,M,27,unknown,06,1970
3106,1972.06.26.a,Australia,Queensland,M,27,unknown,06,1970
3107,1972.06.10,USA,Florida,M,22,morning,06,1970
3108,1972.05.28,USA,California,M,32,afternoon,05,1970
3109,1972.05.06,French Polynesia,Tuamotus,M,27,unknown,05,1970
3110,1972.04.16,Western Samoa,Upolu Island,M,25,unknown,04,1970
3111,1972.04.01.b,Australia,Queensland,F,27,unknown,04,1970
3112,1972.04.01.a,Mozambique,Gaza,M,19,afternoon,04,1970
3114,1972.03.16,USA,Hawaii,M,27,unknown,03,1970
3115,1972.02.20,Australia,Victoria,M,18,morning,02,1970
3117,1972.01.01.c,South Africa,Eastern Cape Province,M,20,unknown,01,1970
3118,1972.01.01.b,South Africa,Kwazulu-Natal,F,30,evening,01,1970
3119,1972.01.01.a,Mozambique,Gaza,M,24,afternoon,01,1970
3121,1972.00.00.a,Marshall Islands,Illeginni Atoll,M,27,unknown,unknown,1970
3123,1971.12.16,South Africa,Western Cape Province,F,16,afternoon,12,1970
3124,1971.12.05,Australia,Queensland,M,20,unknown,12,1970
3125,1971.11.27,Hong Kong,Mirs Bay,M,20,morning,11,1970
3127,1971.10.23,USA,Florida,M,18,afternoon,10,1970
3128,1971.10.14,South Africa,Kwazulu-Natal,M,25,evening,10,1970
3129,1971.10.02,USA,California,M,30,unknown,10,1970
3131,1971.09.07,Croatia,Istria County,M,34,morning,09,1970
3132,1971.09.05,Australia,South Australia,M,51,unknown,09,1970
3133,1971.08.21,Australia,New South Wales,M,26,afternoon,08,1970
3134,1971.07.26,USA,Florida,M,8,afternoon,07,1970
3135,1971.07.19,USA,California,M,27,unknown,07,1970
3136,1971.06.30,South Africa,Western Cape Province,M,21,afternoon,06,1970
3137,1971.06.01,British Isles,South Devon,M,32,unknown,06,1970
3138,1971.04.16R,Kenya,Coast Province,M,16,unknown,04,1970
3139,1971.04.11,South Africa,Western Cape Province,M,50,morning,04,1970
3140,1971.04.06,Mexico,Guerrero,M,19,morning,04,1970
3144,1971.03.30,New Zealand,South Island,M,16,morning,03,1970
3145,1971.01.02,Australia,Tasmania,M,27,afternoon,01,1970
3146,1971.00.00.c,Australia,South Australia,M,15,unknown,unknown,1970
3147,1971.00.00.b,Iran,Khuzestan Province,M,27,unknown,unknown,1970
3148,1971.00.00.a,Iran,Khuzestan Province,M,27,unknown,unknown,1970
3149,1970.12.17,Mozambique,Inhambe Province,M,18,afternoon,12,1960
3150,1970.12.13,Mozambique,Inhambe Province,M,20,unknown,12,1960
3151,1970.12.07,Micronesia,Namonuito Atoll,M,27,evening,12,1960
3152,1970.12.03,USA,Hawaii,M,41,unknown,12,1960
3154,1970.10.24,USA,Hawaii,M,27,unknown,10,1960
3155,1970.10.00,USA,Florida,M,27,unknown,10,1960
3156,1970.09.28,Micronesia,Eastern Caroline Islands,M,43,morning,09,1960
3157,1970.09.13,Palau,Western Caroline Islands North Pacific Ocean,M,20,unknown,09,1960
3158,1970.09.05,USA,Florida,M,18,morning,09,1960
3159,1970.09.02,Australia,New South Wales,M,20,unknown,09,1960
3160,1970.09.00.c,USA,South Carolina,M,27,unknown,09,1960
3161,1970.09.00.a,USA,Florida,M,27,unknown,09,1960
3164,1970.06.22,USA,Florida,M,13,unknown,06,1960
3165,1970.06.15,South Africa,Kwazulu-Natal,M,25,afternoon,06,1960
3166,1970.06.13.b,Grenada,St. Andrew Parish,M,16,afternoon,06,1960
3167,1970.06.13.a,Grenada,St. Andrew Parish,M,18,afternoon,06,1960
3169,1970.04.04,Grenada,St. Andrew Parish,M,14,afternoon,04,1960
3172,1970.03.31,USA,Hawaii,M,27,unknown,03,1960
3173,1970.03.23,USA,Florida,M,19,afternoon,03,1960
3175,1970.01.23.d,Mozambique,Limpopo River,M,14,unknown,01,1960
3176,1970.01.23.c,Mozambique,Limpopo River,M,16,unknown,01,1960
3177,1970.01.23.b,Mozambique,Limpopo River,M,12,unknown,01,1960
3178,1970.01.23.a,Mozambique,Limpopo River,M,10,unknown,01,1960
3179,1970.01.16,Egypt,Red Sea,M,27,unknown,01,1960
3180,1970.01.10,Mexico,Guerrero,M,22,unknown,01,1960
3181,1970.01.09.R,England,Devon,M,27,unknown,01,1960
3182,1970.01.00,Papua New Guinea,New Ireland Province,M,15,unknown,01,1960
3183,1970.00.00.h,Sri Lanka,Western Province,M,27,unknown,unknown,1960
3184,1970.00.00.g,Spain,Canary Islands,M,27,unknown,unknown,1960
3185,1970.00.00.f,Italy,Sardinia,M,27,unknown,unknown,1960
3186,1970.00.00.e,Croatia,Zadar County,M,27,unknown,unknown,1960
3187,1970.00.00.d,Iraq,Basrah,F,28,afternoon,unknown,1960
3188,1970.00.00.c,Iraq,Basrah,F,25,unknown,unknown,1960
3189,1970.00.00.b,Iraq,Basrah,M,35,afternoon,unknown,1960
3190,1970.00.00.a,Iraq,Basrah,M,35,afternoon,unknown,1960
3191,1969.11.30,Australia,Western Australia,M,15,afternoon,11,1960
3192,1969.11.11,USA,Hawaii,M,27,unknown,11,1960
3193,1969.11.05,Australia,New South Wales,M,27,unknown,11,1960
3194,1969.10.14,USA,Hawaii,M,27,morning,10,1960
3195,1969.09.06,USA,California,M,53,morning,09,1960
3196,1969.08.29,USA,Florida,M,27,afternoon,08,1960
3197,1969.08.22,USA,Massachusetts,M,28,unknown,08,1960
3198,1969.08.02,USA,Florida,M,15,morning,08,1960
3199,1969.08.01,USA,Florida,M,13,afternoon,08,1960
3202,1969.07.22,USA,Florida,M,13,afternoon,07,1960
3203,1969.07.20,USA,California,M,27,afternoon,07,1960
3204,1969.06.27,USA,Florida,M,22,afternoon,06,1960
3205,1969.06.12,Jamaica,Clarendon,M,27,morning,06,1960
3206,1969.06.00,USA,Florida,M,8,evening,06,1960
3207,1969.05.25,USA,Texas,M,27,evening,05,1960
3208,1969.05.24,USA,Florida,M,23,morning,05,1960
3211,1969.04.22,Australia,New South Wales,M,27,unknown,04,1960
3212,1969.04.19,USA,Florida,M,40,unknown,08,1960
3213,1969.03.25,Australia,New South Wales,M,65,unknown,03,1960
3214,1969.03.09,USA,Hawaii,M,16,afternoon,03,1960
3215,1969.02.17.R,Australia,Tasmania,M,49,afternoon,02,1960
3216,1969.02.00,Australia,Queensland,M,52,unknown,02,1960
3217,1969.01.27,Australia,New South Wales,M,21,morning,01,1960
3218,1969.01.00,Australia,Victoria,M,27,unknown,01,1960
3220,1968.12.29,South Africa,Kwazulu-Natal,M,27,unknown,12,1960
3221,1968.12.26,Australia,New South Wales,M,27,morning,12,1960
3222,1968.12.25,New Zealand,South Island,M,17,afternoon,12,1960
3223,1968.12.09,Australia,South Australia,M,27,unknown,12,1960
3224,1968.12.02,South Africa,Kwazulu-Natal,M,28,unknown,12,1960
3225,1968.12.00,South Africa,Kwazulu-Natal,M,30,unknown,12,1960
3226,1968.11.06,South Africa,Kwazulu-Natal,M,22,unknown,11,1960
3227,1968.11.02,Australia,Western Australia,M,16,afternoon,11,1960
3229,1968.10.13,USA,Florida,M,27,unknown,10,1960
3232,1968.09.15,New Zealand,South Island,M,24,morning,09,1960
3234,1968.08.21,USA,Florida,M,15,afternoon,08,1960
3235,1968.08.13,French Polynesia,Society Islands,M,12,unknown,08,1960
3237,1968.08.08,Columbia,Magdalena Department,M,18,morning,08,1960
3238,1968.07.27,USA,California,M,25,morning,07,1960
3239,1968.07.23,USA,Florida,M,33,afternoon,07,1960
3240,1968.07.16,USA,South Carolina,M,33,afternoon,07,1960
3241,1968.07.10,Bahamas,Great Exuma Island,M,27,unknown,07,1960
3242,1968.07.00,Mexico,Baja California,M,43,afternoon,07,1960
3243,1968.06.25,Bahamas,Eleuthera,M,17,unknown,06,1960
3244,1968.06.09,USA,Florida,M,17,morning,06,1960
3247,1968.05.00,Papua New Guinea,New Ireland Province,M,17,unknown,05,1960
3248,1968.04.29,USA,Florida,M,63,afternoon,04,1960
3249,1968.04.20,USA,Florida,M,10,afternoon,04,1960
3250,1968.04.15,Australia,New South Wales,M,21,unknown,04,1960
