,case_number_id,country,empire,fatal,area,location,activity,injury,type_of_attack
3580,1962.07.20,MADAGASCAR,FRANCE,False,,"Onboard tuna boat, M.V. Toscui Maru",Finning the shark,Right calf lacerated by boated shark PROVOKED INCIDENT,Provoked
3581,1962.07.19,USA,UNITED KINGDOM,False,California,30 miles south of San Clemente Island,Fishing for albacore,"2 lacerations on left hand by hooked shark, PROVOKED INCIDENT",Provoked
3582,1962.07.10,USA,UNITED KINGDOM,False,Georgia,"St. Simons Island or Jeykll Island, Glynn County",Playing in surf with his child  (9),"Cuts on fingers, hand & wrist",Unprovoked
3583,1962.07.07,USA,UNITED KINGDOM,False,Georgia,"Jekyll Island, Glynn County",Dived from inner-tube,Laceration on hand,Unprovoked
3584,1962.07.03.R,GREECE,OTHER,False,Cyclades,Near Mykonos Island,,No injury,Invalid
3585,1962.06.25,USA,UNITED KINGDOM,True,Florida,"Fernandina Beach, Nassau County",U.S. Airforce crewman reported missing after bailing out of jet,FATAL,Invalid
3586,1962.06.21,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,"Millers Point, False Bay","On a ""shark hunt""","No injury to occupants, shark charged boat, then 2 more sharks hit boat, oar grabbed, boat finally drifted ashore at 02h00",Boat
3587,1962.06.17,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Rolled off raft,"8"" laceration on left calf",Unprovoked
3588,1962.06.11.b,USA,UNITED KINGDOM,False,California,San Francisco Bay,Escaping from Alacatraz,2 toes bitten off ,Unprovoked
3589,1962.06.11.b,USA,UNITED KINGDOM,True,California,San Francisco Bay,Escaping from Alacatraz,"FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.",Unprovoked
3590,1962.06.11.a,USA,UNITED KINGDOM,True,California,San Francisco Bay,Escaping from Alacatraz,"FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.",Unprovoked
3591,1962.06.10.b,PAPUA NEW GUINEA,OTHER,True,Madang Province,"Mouth of Suareng River, a mile from Taludig",Washing,"FATAL, chest & leg bitten ",Unprovoked
3592,1962.06.10.a,USA,UNITED KINGDOM,False,South Carolina,"Hilton Head, Beaufort County",Standing,Thigh bitten,Unprovoked
3593,1962.06.07,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Emu Point,Fishing,"No injury to occupant, shark grabbed anchor rope, pulling bow of boat downward & then bit bow of boat",Boat
3594,1962.06.04,USA,UNITED KINGDOM,False,California,"12' tank at Steinhart Aquarium, San Francisco","Scuba diving, attempting to catch a captive shark",Right forearm bitten PROVOKED INCIDENT,Provoked
3595,1962.06.03,USA,UNITED KINGDOM,False,Florida,"Riviera Beach, near Palm Beach Inlet, Palm Beach County",Free diving,Left foot bitten,Unprovoked
3596,1962.05.29,USA,UNITED KINGDOM,False,Florida,"Jupiter, Palm Beach County",,Bitten on leg or ankle,Unprovoked
3597,1962.05.12,USA,UNITED KINGDOM,True,California,"8 miles off Newport Beach, Orange County",25-foot cabin cruiser Happy Jack sank in heavy seas,Bodies of 5 of the 6 men on board were bitten by by sharks. Sharks may have contributed to the death of some of them.,Sea Disaster
3598,1962.05.00.R,FIJI,UNITED KINGDOM,False,Viti Levu,Near Suva,Fishing,"No injury, sharks rammed boat and bit outboard motor",Boat
3599,1962.04.20,AUSTRALIA,UNITED KINGDOM,False,Queensland,Nobbys Beach,Fishing,"No injury to occupants, hooked shark cracked hull PROVOKED INCIDENT",Provoked
3600,1962.04.09,MOZAMBIQUE,PORTUGAL,False,Gaza,Xai Xai,Swimming,"Leg bitten, surgically amputated at knee",Unprovoked
3601,1962.04.07,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,Umhlali,Wading,Left ankle & foot bitten,Unprovoked
3602,1962.04.05,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,East London,Fishing,Hooked shark bit boat PROVOKED INCIDENT,Provoked
3603,1962.03.25.b,NEW ZEALAND,UNITED KINGDOM,False,"Off the Coromandel Peninsula, North Island",Alderman Islands,,Left foot bitten by hooked shark PROVOKED INCIDENT,Provoked
3604,1962.03.25.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Norah Head,Fishing & spearfishing,No injury to occupants. Shark holed boat & they swam 200 yards to shore,Boat
3605,1962.03.24,PAPUA NEW GUINEA,OTHER,True,Madang,Matukar village ,Swimming,"FATAL, calf bitten, other leg severed below knee",Unprovoked
3606,1962.02.23,PAPUA NEW GUINEA,OTHER,False,Central Province,Fisherman�s Island near Port Moresby,Swimming along a row of nets,Torso lacerated,Unprovoked
3607,1962.02.18,NEW ZEALAND,UNITED KINGDOM,False,Southland,Long Beach,Swimming,"Mistook shark's tail for kelp & grabbed it, legs abraded by shark's fins PROVOKED INCIDENT",Provoked
3608,1962.02.15,AUSTRALIA,UNITED KINGDOM,False,Queensland,Between Smith�s Rock & Moreton Island,Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it,Middle finger of right hand lacerated,Unprovoked
3609,1962.02.07,SOUTH AFRICA,UNITED KINGDOM,True,KwaZulu-Natal,Winkelspruit,Swimming,"FATAL, calf bitten twice",Unprovoked
3610,1962.02.05,SOUTH AFRICA,UNITED KINGDOM,True,KwaZulu-Natal,Winkelspruit,Treading water,"FATAL, tissue removed from thigh, femoral artery severed ",Unprovoked
3611,1962.02.04,AUSTRALIA,UNITED KINGDOM,False,Queensland,Greenmount Beach,Swimming,Shin bitten,Unprovoked
3613,1962.02.00,SOLOMON ISLANDS,UNITED KINGDOM,True,Guadalcanal Province,"North Coast, Guadalcanal Island",Swimming outside fishing net,"FATAL, shoulder & thigh bitten ",Unprovoked
3614,1962.01.27,NEW ZEALAND,UNITED KINGDOM,False,South Island,Oreti Beach,Splashing ,"Left hand injured: gash on back of hand, toothmarks on palm",Unprovoked
3616,1962.01.21,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Cronulla,Spearfishing,Suffered from shock & immersion after being dragged underwater  by speared shark PROVOKED INCIDENT,Provoked
3617,1962.01.18,SOUTH AFRICA,UNITED KINGDOM,True,KwaZulu-Natal,Margate,"Fishing, slipped on rocks & fell into sea",Possible drowning / post mortem scavenging,Invalid
3618,1962.01.16,NEW ZEALAND,UNITED KINGDOM,False,South Island,"Pigeon Bay, Canterbury",Fishing,"No injury to occupants, hooked shark attacked boat PROVOKED INCIDENT",Provoked
3619,1962.01.15,NEW ZEALAND,UNITED KINGDOM,False,North Island,"Slipper Island, Coromandel Peninsula",Spearfishing,Shark struck him on shoulder injuring skin under suit,Unprovoked
3620,1962.01.14.c,USA,UNITED KINGDOM,False,California,Farallon Islands,Spearfishing / Scuba diving (at surface),Buttock bitten & major leg wound,Unprovoked
3621,1962.01.14.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Long Reef, North Manly",Spearfishing,Speared shark bit gunwale of boat as it was being hauled onboard PROVOKED INCIDENT,Provoked
3622,1962.01.14.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Lennox Head, Ballina",Surfing,Dorsum of foot lacerated & toe severed,Unprovoked
3623,1962.01.11.c,AUSTRALIA,UNITED KINGDOM,False,South Australia,Marino,Fishing,"No injury to occupant, shark bit propeller & lifted boat several feet",Boat
3624,1962.01.11.b,PAPUA NEW GUINEA,OTHER,False,"10�S, 142�E",Jukuataia Village,Spearfishing,Left leg & buttocks bitten,Unprovoked
3625,1962.01.11.a,NEW ZEALAND,UNITED KINGDOM,False,South Island,"Fairdown Beach, 5 miles north of Westport",Surf fishing,Right foot lacerated ,Unprovoked
3626,1962.01.10,AUSTRALIA,UNITED KINGDOM,False,South Australia,Ceduna,Fishing for sharks,No injury to fisherman Alf Dean & other occupants; shark bit stern of boat,Boat
3627,1962.01.08,AUSTRALIA,UNITED KINGDOM,True,New South Wales,Lake Illawarra,Swimming,"Remains recovered from shark, but shark involvement prior to death unconfirmed",Invalid
3628,1962.01.07.b,AUSTRALIA,UNITED KINGDOM,False,Queensland,Dicky Beach,Rowing,"No injury to occupants, shark bit 3"" piece from oar after they accidentally struck the shark PROVOKED INCIDENT",Provoked
3629,1962.01.07.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Sydney,Surfing,"No injury, shark bumped board flipping him into the water",Unprovoked
3630,1962.01.06,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,6 km off Groot Brak River,Fishing,Shark rammed boat 5 times & holed it,Boat
3631,1962.01.02,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Seaspray, near Sale",Fishing,"No injury to occupants, hooked shark dragged boat 2 miles PROVOKED INCIDENT",Provoked
3632,1962.01.01,MARSHALL ISLANDS,OTHER,False,Kwajalein Atoll,Roi-namur Island,Fishing with hand net in 2' of water,"2.5"" laceration on right hand",Unprovoked
3633,1962.00.00.c,SPAIN,SPAIN,False,Catalonia,Aigua Blava,Dangling feet in the water,Feet severed,Unprovoked
3634,1962.00.00.b,INDONESIA,OTHER,True,East Flores,Waewerang,,FATAL,Unprovoked
3635,1962.00.00.a,AUSTRALIA,UNITED KINGDOM,False,South Australia,Dangerous Reef,Diving,Right leg bitten,Unprovoked
3636,1961.12.28.c,AUSTRALIA,UNITED KINGDOM,True,Queensland,"Lambert's Beach, Mackay",Standing,"FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack",Unprovoked
3637,1961.12.28.b,AUSTRALIA,UNITED KINGDOM,False,Queensland,"Lambert�s Beach, Mackay",Standing,"Hand bitten, surgically amputated",Unprovoked
3638,1961.12.28.a,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,Umhlanga Rocks,Treading water,Lower right leg & ankle bitten,Unprovoked
3639,1961.12.27,AUSTRALIA,UNITED KINGDOM,False,Western Australia,"North of main swimming area in Waterman's Bay Beach, Perth",Spearfishing,"No injury, Parker shot the shark when it came close to his nephew, Bill Bradbury (14), then the shark bent his speargun PROVOKED INCIDENT",Provoked
3640,1961.12.19,AUSTRALIA,UNITED KINGDOM,False,South Australia,Cowell,"Fishing, hauling in a 5-lb snapper",No injury to occupant; shark leapt into boat,Boat
3641,1961.12.18.b,MOZAMBIQUE,PORTUGAL,False,Gaza,Praia Sepulveda,Bathing,His left leg was severely bitten,Unprovoked
3642,1961.12.18.a,AUSTRALIA,UNITED KINGDOM,True,Queensland,Noosa Heads,"Surfing, pushing board ashore","FATAL, right wrist and hand bitten, left leg severed above knee ",Unprovoked
3643,1961.12.13,AUSTRALIA,UNITED KINGDOM,False,Torres Strait,"Horn Island, near Thursday Island",Swimming with other crew near wharf,Right thigh and leg lacerated,Unprovoked
3644,1961.11.14,MEXICO,SPAIN,True,Guerrrero,Northwest of Acapulco,,"Bodies of  hurricane victims bitten by shoals of sharks, post mortem scavenging",Invalid
3645,1961.10.27,PHILIPPINES,SPAIN,False,Western Luzon Island,Manila Bay,Gathering shells,Right leg severed,Unprovoked
3646,1961.10.09,USA,UNITED KINGDOM,True,Florida,"Ocean Ridge, Boca Raton, Palm Beach County",Swimming,"Skeletonized, but shark involvement may have occurred after death.",Invalid
3647,1961.10.00.b,VANUATU,FRANCE,False,Shefa Province, Lelepa Island,Paddling outrigger canoe,"No injury to occupant, canoe  bitten & overturned by shark",Boat
3648,1961.10.00.a,USA,UNITED KINGDOM,True,Florida,"Boca Raton, Palm Beach County",,"FATAL. His body washed ashore, presumed shark attack",Unprovoked
3649,1961.09.26,USA,UNITED KINGDOM,False,Florida,"Florida Keys, Monroe County",,Foot & lower leg abraded and lacerated when he kicked the shark PROVOKED INCIDENT,Provoked
3650,1961.09.24.b,CROATIA,OTHER,True,Primorje-Gorski Kotar County ,"Opatija, northwestern coast of Rijeka Bay",Swimming,"FATAL, hand severed & legs bitten  ",Unprovoked
3651,1961.09.24.a,TANZANIA,UNITED KINGDOM,False,,Near entrance to Dar-es-Salaam Harbour,Fishing,PROVOKED INCIDENT Right hand severed by hooked shark,Provoked
3654,1961.09.02.R,ITALY,OTHER,False,Venice Province, Chioggia,Fishing,Left foot & right hand bitten by netted shark PROVOKED INCIDENT,Provoked
3655,1961.09.06,AUSTRALIA,UNITED KINGDOM,True,Western Australia,Broome,Attaching a line at sea,Shark involvement prior to death priunconfirmed,Invalid
3656,1961.08.20,USA,UNITED KINGDOM,False,California,"Portuguese Beach at mouth of Salmon Creek, Sonoma County",Swimming,"Foot, leg  & groin lacerated",Unprovoked
3657,1961.08.16,USA,UNITED KINGDOM,False,South Carolina,"Pawley�s Island, Georgetown County",Wading,"Right arm bitten. Left leg bitten, surgically amputated ",Unprovoked
3658,1961.08.04,BERMUDA,UNITED KINGDOM,False,,6 miles from shore,Spearfishing,Right hand lacerated,Unprovoked
3659,1961.08.02,USA,UNITED KINGDOM,False,Hawaii,"Pearl Harbor Channel, O'ahu","Net fishing, picking catch from the net",Hand bitten,Unprovoked
3660,1961.08.01,PAPUA NEW GUINEA,OTHER,False,Sandaun Province,Vanimo  on Musu side of Wutong anchorage,"Fishing, two large sharks passed. He speared one and it bit him",Thigh lacerated PROVOKED INCIDENT,Provoked
3661,1961.07.29,USA,UNITED KINGDOM,False,New York,Whitewood Point on Lloyd Neck in Oyster Bay,Spearfishing,Puncture wound on right shin & fingers lacerated by speared shark PROVOKED INCIDENT,Provoked
3662,1961.07.16,TURKEY,OTHER,False,Anatolia,"?nciralti Beach, ?zmir ",Swimming,Left leg injured,Unprovoked
3663,1961.07.07.b,AUSTRALIA,UNITED KINGDOM,False,Queensland,Cape Moreton,Shark fishing,"No injury to occupant, hooked shark bit boat's rudder PROVOKED INCIDENT",Provoked
3664,1961.07.00.b,ITALY,OTHER,False,Adriatic Sea,Riccione,Spearfishing,Foot bitten,Unprovoked
3665,1961.07.00.a,PANAMA,SPAIN,True,,"Jarque, just south of Pi?as Bay",Fishing (trolling)  from canoe,"FATAL, hooked shark pulled him into the water PROVOKED INCIDENT",Provoked
3666,1961.06.24,USA,UNITED KINGDOM,True,Florida,"500 yards from Fowey Rock Light, 9 miles east of Key Biscayne, Miami",Scuba diving & spearfishing ,"FATAL, arm severed & left side of torso removed ",Unprovoked
3667,1961.06.18,USA,UNITED KINGDOM,False,Florida,"Jensen Beach, Martin County",Standing,Lacerations to left leg,Unprovoked
3668,1961.06.06.R,USA,UNITED KINGDOM,False,Florida,"Ponte Vedra Beach, St. Johns County",Spearfishing on Scuba,"No injury to diver or occupants of the boat, shark butted boat ",Boat
3670,1961.06.01,PAPUA NEW GUINEA,OTHER,False,"Admiralty Islands, Manus Province","Rossun, Manus","Fishing, speared shark upset canoe & man fell in water","Left thigh severely bitten, but he regained  the canoe, then shark bit canoe PROVOKED INCIDENT",Provoked
3671,1961.05.21,USA,UNITED KINGDOM,False,California,"Tomales Point, Marin County",Free diving for abalone,"No injury, wetsuit bitten",Unprovoked
3673,1961.05.15,USA,UNITED KINGDOM,False,Florida,"Laguna Beach, Bay County",Walking in chest-deep water,Middle finger of left hand & right forearm lacerated,Unprovoked
3674,1961.05.07,AUSTRALIA,UNITED KINGDOM,False,Western Australia,"Quinn�s Rocks, south of Yanchep",Spearfishing,"No injury, speared shark hit speargun PROVOKED INCIDENT",Provoked
3675,1961.04.30,USA,UNITED KINGDOM,False,Florida,Palm Beach County,Splashing ,Abdomen abraded,Invalid
3676,1961.04.25,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Trial Bay, north of Kempsey",Spearfishing,Speared shark bit Davy's ankle &  Pierpont's right leg  PROVOKED INCIDENT,Provoked
3677,1961.04.21,MOZAMBIQUE,PORTUGAL,False,Gaza,"Sepulveda Beach, Xai Xai",Swimming,"Multiple injuries to both hands, left leg & foot",Unprovoked
3678,1961.04.17,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,Port Elizabeth Oceanarium,Diving,Shark bit swimfin after diver kicked shark PROVOKED INCIDENT,Provoked
3679,1961.04.16.b,USA,UNITED KINGDOM,False,Florida,"Fowey Rock Light, Miami",Spearfishing,Thigh bitten,Unprovoked
3680,1961.04.16.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Otford,Spearfishing,Speared shark bit his foot  PROVOKED INCIDENT,Provoked
3681,1961.04.14,AUSTRALIA,UNITED KINGDOM,False,New South Wales,10 miles off Nambucca Heads  onboard trawler,"Checking fish traps, fell into the water",Tiny cuts & bruises on neck  ,Unprovoked
3682,1961.04.09,MOZAMBIQUE,PORTUGAL,True,Gaza,Xai Xai,"Swimming, using bundles of sticks as raft","FATAL, extensive abdominal wounds, died 4 days later  ",Unprovoked
3684,1961.04.03,AUSTRALIA,UNITED KINGDOM,False,Victoria,Flinders Island,Spearfishing,"No injury, right sleeve of wetsuit ripped, weight on belt gashed",Unprovoked
3685,1961.04.00,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Rottnest Island,Spearfishing,Speared shark bit his arm & seat of pants of diving suit  PROVOKED INCIDENT,Provoked
3686,1961.03.30,AUSTRALIA,UNITED KINGDOM,False,South Australia,Glenelg Breakwater,Spearfishing,"Shark took his entire catch, lacerated his knee and tore his wet suit as it brushed past him",Unprovoked
3687,1961.03.18,AUSTRALIA,UNITED KINGDOM,False,Victoria,Lady Beach at Warrnambool,Swimming,"Abdomen & arm bitten. Shark, holding him by the arm, leapt 4' to 5' above the surface",Unprovoked
3688,1961.03.14,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Shark Bay,Fishing from dinghy,Hooked shark hauled on board bit her foot PROVOKED INCIDENT,Provoked
3689,1961.03.12,AUSTRALIA,UNITED KINGDOM,False,South Australia,Aldinga Beach,Spearfishing,Left leg bitten  & left forearm lacerated,Unprovoked
3691,1961.03.07,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,St. Lucia,Fishing,Landed shark in boat bit his left leg  PROVOKED INCIDENT,Provoked
3692,1961.03.00,FIJI,UNITED KINGDOM,False,"19S, 178?E","Wotua Beach, 70 miles from Suva",Floating on back,Right forearm bitten,Unprovoked
3693,1961.02.17.b,USA,UNITED KINGDOM,False,Pennsylvania,"Fairmount Park Aquarium, Philadelphia",Cleaning a tank,Thumb lacerated by captive shark PROVOKED INCIDENT,Provoked
3694,1961.02.17.a,AUSTRALIA,UNITED KINGDOM,False,Victoria,Mount Martha Beach,Standing,"Ankle bitten by small �gummy� shark, minor injury",Unprovoked
3695,1961.02.16,JAMAICA,UNITED KINGDOM,True,,,,FATAL,Unprovoked
3696,1961.02.12,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,Sea Point,"Spearfishing, shark grabbed his white t-shirt and towed him ",Torso bruised & abraded ,Unprovoked
3697,1961.02.01.b,SOUTH AFRICA,UNITED KINGDOM,True,Eastern Cape Province,Nahoon,Swimming,"FATAL, multiple injuries to both legs, feet & left arm  ",Unprovoked
3698,1961.02.01.a,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Carnac Island,Collecting crayfish,No injury,Unprovoked
3699,1961.02.00,USA,UNITED KINGDOM,False,California,"Topanga Canyon Beach, Santa Monica Bay",,Considered a doubtful incident,Invalid
3700,1961.01.25,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,Frikkies Bay,Fishing for kob,"No injury to occupants, shark took a gaffed fish they were bringing aboard & hit their boat",Boat
3701,1961.01.22,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,Amanzimtoti,Swimming,Left thigh bitten ,Unprovoked
3702,1961.01.15,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Cook Island,Collecting aquarium specimens,Right calf  bitten by lassoed shark on deck of surf ski PROVOKED INCIDENT,Provoked
3703,1961.01.06.c,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,Winkelspruit,Standing,"Right foot, leg and hand bitten",Unprovoked
3705,1961.01.06.a,AUSTRALIA,UNITED KINGDOM,False,Northern Territory,"Stokes Hill Wharf, Darwin",Fishing,Finger bitten by hooked shark PROVOKED INCIDENT,Provoked
3706,1961.01.05,MOZAMBIQUE,PORTUGAL,False,Limpopo River,190 km to 240 km from the sea,Swimming,Leg bitten ,Unprovoked
3707,1961.01.03.b,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,Strandfontein,Standing,"Lower left leg bitten, abrasions on back of right leg",Unprovoked
3708,1961.01.03.a,SOUTH AFRICA,UNITED KINGDOM,True,KwaZulu-Natal,Palm Beach,,Human remains (patella & remnants of black swim suit) found in shark,Invalid
3709,1961.01.02.R,AUSTRALIA,UNITED KINGDOM,False,Tasmania,Off Tasman Island,Ocean racing,"No injury to occupants, shark struck boat",Boat
3710,1961.00.00.e,AUSTRALIA,UNITED KINGDOM,False,New South Wales,South coast,Fishing for mackerel,"No injury to occupant, shark took hooked fish then bit stern of boat",Boat
3711,1961.01.01,COLOMBIA,SPAIN,False,Roncador Bank,"Roncador Bank, 135 nm north of San Andres ",Taking boat from California to Florida when it ran aground & he was swimming back to boat,Leg bitten,Unprovoked
3712,1961.00.00.d,NEW CALEDONIA,FRANCE,False,,,Spearfishing,Arm injured,Unprovoked
3713,1961.00.00.b,SENEGAL,FRANCE,True,Cap Vert Peninsula,Thiaroye Guedi,Free diving for molluscs,FATAL,Unprovoked
3714,1961.00.00.a,USA,UNITED KINGDOM,True,Hawaii,Maui,Light aircraft ditched at sea,3 of the 4 passengers killed by sharks,Sea Disaster
3715,1960.12.27.b,USA,UNITED KINGDOM,True,Hawaii,"Maile Point, O'ahu",Swept out to sea while net fishing,"FATAL  Shark seen attacking Riley, body recovered off Nanakuli",Unprovoked
3716,1960.12.27.a.,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Bondi Beach, Sydney",,"Shark brushed past, minor injuries if any",Unprovoked
3717,1960.12.24,SOUTH AFRICA,UNITED KINGDOM,True,KwaZulu-Natal,Margate,Swimming,"FATAL, legs severed ",Unprovoked
3718,1960.12.20,AUSTRALIA,UNITED KINGDOM,False,Queensland,"College�s Crossing, 54 miles above mouth of the Brisbane River","Fishing, when line became snagged on rock & he dived into water to free it ",Left thigh lacerated,Unprovoked
3719,1960.12.01,AUSTRALIA,UNITED KINGDOM,False,Queensland,"Colledge's Crossing, Brisbane River",Fishing,Bitten & survived,Unprovoked
3720,1960.11.27,AUSTRALIA,UNITED KINGDOM,False,Queensland,"Black�s Beach, 9 miles north of Mackay",Swimming,Right shoulder lacerated,Unprovoked
3721,1960.11.22,USA,UNITED KINGDOM,True,Florida,"Hutchinson Island Beach, Martin County","Fell overboard, prop slashed arm","FATAL, probable drowning & post mortem scavenging",Invalid
3722,1960.11.11,AUSTRALIA,UNITED KINGDOM,False,Queensland,"Scott�s Point, Redcliffe Peninsula",Chasing shark out of bathing area while riding on a surf-ski,"Shark knocked him off surf-ski, he inhaled water & had to be resuscitated PROVOKED INCIDENT",Provoked
3723,1960.11.06,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Hamelin Bay,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",Scratches on right upper arm,Unprovoked
3724,1960.11.00.d,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,"5 km from Gordon�s Bay, False Bay",Hand lining for shad,"No injury to occupants, shark bit 45 cm hole in hull",Boat
3725,1960.11.00.c,PAPUA NEW GUINEA,OTHER,False,Western District,Toro Passage,,Left wrist bitten by netted shark placed in bottom of dinghy PROVOKED INCIDENT,Provoked
3726,1960.11.00.b,PAPUA NEW GUINEA,OTHER,True,Central Province,Abau Subdistrict,Fishing,"FATAL, severely bitten genitals & thighs ",Unprovoked
3727,1960.10.25,USA,UNITED KINGDOM,False,California,"Off Point Mugu, Ventura County",Ejected from F3H-2 aircraft ,"No injury, shark hit his foot & circled",Sea Disaster
3728,1960.10.24,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,"Jacobs Bay Reef, Saldanha Bay",Fishing for rock lobsters,"No injury to occupants, shark rammed & bit  boat",Boat
3729,1960.10.02,AUSTRALIA,UNITED KINGDOM,False,New South Wales,North Head,Fishing,"Swept off rocks & presumed to have drowned, shark seen in area",Invalid
3730,1960.10.00.e,PAPUA NEW GUINEA,OTHER,False,New Britain,"East Nakanai, Talasea",Collecting shells,Injuries to leg & foot,Unprovoked
3732,1960.10.00.c,USA,UNITED KINGDOM,True,Florida,Haulover Inlet,Diving,"Apparently went missing while diving. Helicopter searching for him spotted school of sharks attacking a ""white object"" 15' below the surface",Invalid
3733,1960.10.00.b,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,False Bay,Fishing,"Shark rammed boat, breaching its hull",Boat
3735,1960.09.24,USA,UNITED KINGDOM,False,South Carolina,"Atlantic Beach, Horry County",Fishing inside net,"Multiple superficial lacerations of leg, arm & hand PROVOKED INCIDENT",Provoked
3737,1960.09.18,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Frenchman Bay,,"No injury to occupants, toothmarks on bottom & side of dinghy",Boat
3738,1960.09.02,MARSHALL ISLANDS,OTHER,False,Eniwetok Atoll,Lagoon along Sand Island,Free diving / Spearfishing,"No injury, shark made a threat display",Invalid
3739,1960.09.01,MARSHALL ISLANDS,OTHER,False,Eniwetok Atoll,Parry Island,Free diving / Spearfishing,"No injury, shark made a threat display",Invalid
3740,1960.08.30,USA,UNITED KINGDOM,False,New Jersey,"Ocean City, Cape May County",Swimming 3 miles offshore,Right leg severely lacerated,Unprovoked
3741,1960.08.29,SENEGAL,FRANCE,True,Cap-Vert Peninsula,off Dakar,Air disaster: crash of Air France Super Constellation ,All 63 on board perished when the aircraft hit the water. Sharks hampered retrieval of bodies,Sea Disaster
3742,1960.08.25,USA,UNITED KINGDOM,True,Texas,30 miles east of Corpus Christi,Aircraft crashed into sea,"Partial human remains spotted by helicopter, shark involvement, if any, may have been post-mortum",Invalid
3743,1960.08.24,USA,UNITED KINGDOM,False,Connecticut,"Off Eames Monument, Bridgeport, Fairfield County",Free diving,Superficial laceration of left arm,Unprovoked
3744,1960.08.22.R.,PAPUA NEW GUINEA,OTHER,False,Milne Bay Province,,Free-diving,Lost left arm,Unprovoked
3745,1960.08.22,USA,UNITED KINGDOM,False,New Jersey,"Seaside Park, Ocean County",,Knee ripped to bone,Unprovoked
3746,1960.08.21,USA,UNITED KINGDOM,False,New Jersey,"Sea Girt, Monmouth County",Standing in knee-deep water,"Lower right leg bitten, surgically amputated 10 days later",Unprovoked
3747,1960.08.14,MOZAMBIQUE,PORTUGAL,False,Delagoa Bay,Bella Vista,boat with 46 people on board capsized,1  survivor,Invalid
3748,1960.08.10,USA,UNITED KINGDOM,False,Florida,Key Largo Sound,Holding shark on leader & dangling it above the water,Right hand bitten by hooked shark PROVOKED INCIDENT,Provoked
3749,1960.08.04.b,UNITED KINGDOM,UNITED KINGDOM,False,In the English Channel ,Off the south Devon coast,Helping angler land a shark,Arm lacerated elbow to wrist PROVOKED INCIDENT,Provoked
3750,1960.08.04.a,USA,UNITED KINGDOM,False,Delaware,"Mispillion Light, Delaware Bay","Fishing, Struck by another shark when removing shark from line",Hand lacerated,Unprovoked
3751,1960.08.00,USA,UNITED KINGDOM,True,South Carolina,Parris Island,Swimming from camp,FATAL,Unprovoked
3752,1960.07.27,PAPUA NEW GUINEA,OTHER,False,Milne Bay Province,"Taupota, Samarai ",Spearfishing,"Arm severed, torso severely  lacerated",Unprovoked
3753,1960.07.05,USA,UNITED KINGDOM,False,Mississippi,Mississippi City,Pulling raft out to ride to shore,Leg bitten,Unprovoked
3754,1960.07.03,USA,UNITED KINGDOM,False,Virginia,Hog Island,"Fishing, tossing netted shark onboard",Right arm bitten  PROVOKED INCIDENT,Provoked
3755,1960.07.02.a,PAPUA NEW GUINEA,OTHER,False,Madang,"Bimat, Bogia",Fishing,Right buttock slashed,Unprovoked
3756,1960.06.29,USA,UNITED KINGDOM,False,South Carolina,"Little River Beach, Horry County",Surf fishing,"Lacerations to calf, wrist & thumb by hooked shark. PROVOKED INCIDENT",Provoked
