,case_number_id,country,empire,fatal,area,location,activity,injury,type_of_attack
69,2016.04.19,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"First Sun Beach, Byron Bay",Swimming,Minor puncture wound to foot,Unprovoked
70,2016.04.18,FRENCH POLYNESIA,FRANCE,False,Tuamotos,Makemo Atoll,Spearfishing,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",Provoked
71,2016.04.13,USA,UNITED KINGDOM,False,Florida,"Off Singer Island, Palm Beach County",Spearfishing,Multiple bites to right arm,Unprovoked
72,2016.04.09,NEW CALEDONIA,FRANCE,True,Grand Terre,Poe Beach,Walking,FATAL,Unprovoked
73,2016.04.08,CAPE VERDE,PORTUGAL,False,Boa Vista Island,,,"""Serious""",Invalid
74,2016.04.07.b,USA,UNITED KINGDOM,False,Florida,"Florida Keys, Monroe County",Fishing,Left hand bitten,Unprovoked
75,2016.04.07.a,USA,UNITED KINGDOM,False,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,Invalid
76,2016.03.31,USA,UNITED KINGDOM,False,Hawaii,"Olowalu, Maui",Snorkeling,Minor injury to left foot,Unprovoked
77,2016.03.30,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Bombo Beach,Surfing,Severe injury to thigh,Unprovoked
78,2016.03.28.b,USA,UNITED KINGDOM,False,Florida,"Fort Myers Beach, Lee County",,Minor injury to arm. Possibly caused by smalll nurse shark,Unprovoked
79,2016.03.28.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,North Cronulla Beach,Surfing,"No injury, board dented",Unprovoked
80,2016.03.26,BAHAMAS,UNITED KINGDOM,False,,,,Minor injury to chest PROVOKED INCIDENT,Provoked
81,2016.03.13,USA,UNITED KINGDOM,False,California,"Bolsa Chica State Park, Orange County",Surfing,Board reportedly bumped by shark. No injury,Invalid
82,2016.03.11,USA,UNITED KINGDOM,False,Florida,"Vero Beach, St. Lucie County",Body surfing,Lacerations to right foot and ankle,Unprovoked
83,2016.03.10,FIJI,UNITED KINGDOM,True,Vanua Levu,,Diving for beche-de-mer,FATAL,Unprovoked
84,2016.03.04,USA,UNITED KINGDOM,False,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,Superficial injury to foot,Unprovoked
85,2016.03.03.R,AUSTRALIA,UNITED KINGDOM,False,South Australia,Wrights Bay,Fishing,Puncture wounds to right calf,Unprovoked
86,2016.03.02,BRAZIL,PORTUGAL,False,Santa Catarina State,Escalerio Beach Balne�rio Cambori�,Swimming,Minor injury to head,Unprovoked
87,2016.02.22,NEW CALEDONIA,FRANCE,False,South Province,"Ricaudy Reef, Noumea",Kite surfing,Puncture wounds to right thigh,Unprovoked
88,2016.02.19,NEW CALEDONIA,FRANCE,False,South Province,Yate,Spearfishing,Forearm bitten,Unprovoked
89,2016.02.12,DOMINICAN REPUBLIC,SPAIN,False,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,Avulsion injury to lower leg,Unprovoked
90,2016.02.10.R,CAYMAN ISLANDS,UNITED KINGDOM,False,Grand Cayman,Stingray City Bar,Feeding stingrays?,Minor injury to wrist from Southern stingray,Invalid
91,2016.02.10,AUSTRALIA,UNITED KINGDOM,False,Tasmania,Nettley Bay,Surfing,"No injury, knocked off board",Invalid
92,2016.02.05,AUSTRALIA,UNITED KINGDOM,False,Queensland,Stradbroke Island,Walking,Foot nipped,Unprovoked
93,2016.02.04,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Hams Beach,Windsurfing,"No injury, shark bit board",Unprovoked
94,2016.01.29,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,,Kayak fishing,"No injury, shark capsized kayak",Boat
95,2016.01.28,USA,UNITED KINGDOM,False,Hawaii,"Hanalei Bay, Kauai",Surfing,Lacerations to both hands,Unprovoked
96,2016.01.25,USA,UNITED KINGDOM,False,Hawaii,"Hanalei Bay, Kauai, ",Surfing,No injury,Unprovoked
97,2016.01.24.b,USA,UNITED KINGDOM,False,Texas,Off Surfside,Spearfishing,"Bruised ribs & tail bone, speargun broken and wetsuit cut",Unprovoked
98,2016.01.24.a,UNITED ARAB EMIRATES,UNITED KINGDOM,False,Fujairah Emirate,35 miles off Fujairah,Fishing,"No injury to occupants, shark leapt into boat",Boat
99,2016.01.23,USA,UNITED KINGDOM,False,Hawaii,"Wailea Beach, Maui",Paddle boarding,No injury,Unprovoked
100,2016.01.11.R,AUSTRALIA,UNITED KINGDOM,False,Queensland,"Happy Valley Beach, Caloundra",Surfing,Laceration to right foot,Unprovoked
101,2016.01.05,AUSTRALIA,UNITED KINGDOM,False,Queensland,Heron Island,Wading,Laceration to right calf,Unprovoked
102,2016.01.02,AUSTRALIA,UNITED KINGDOM,False,Queensland,Miall Island,Spearfishing,Lacerations to arms & leg,Unprovoked
103,2015.12.26,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,Westbrook Beach,Kayak Fishing,"No injury, kayak damaged",Boat
104,2015.12.25,SPAIN,SPAIN,False,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,Lacerations to left forearm,Unprovoked
105,2015.12.22,USA,UNITED KINGDOM,False,Hawaii,La'aloa Beach Park,Paddle boarding,"No injury, shark bit board",Unprovoked
106,2015.12.21.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Bondi Beach,Surfing,"No injury, shark leapt on surfboard",Unprovoked
107,2015.12.21.a,BRAZIL,PORTUGAL,False,Pernambuco,Fernano de Noronha,Scuba diving,Right hand & part of forearm removed,Unprovoked
108,2015.12.19,ARUBA,OTHER,True,,Boat capsized,Sea disaster,FATAL,Unprovoked
109,2015.12.13,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Lake Macquarie,Fishing,"No injury, shark rammed boat & bit motor",Boat
110,2015.12.11,BAHAMAS,UNITED KINGDOM,False,,Off Andros Island,Lobster fishing,"Bitten on thigh, abdomen & hand",Unprovoked
111,2015.12.08,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,Mpande,Swimming / Wading,Lacerations to both hands and forearms,Unprovoked
112,2015.11.16,USA,UNITED KINGDOM,False,Florida,"Playalinda Beach, Brevard County",Surfing,Right heel injured,Unprovoked
113,2015.11.15.b,USA,UNITED KINGDOM,False,Florida,"Palm Beach, Palm Beach County",Swimming,Leg injured,Unprovoked
114,2015.11.15.a,USA,UNITED KINGDOM,False,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,Lacerations to hand,Unprovoked
115,2015.11.10,AUSTRALIA,UNITED KINGDOM,False,New South Wales,East Ballina,Surfing,Injury to left thigh,Unprovoked
116,2015.12.23,USA,UNITED KINGDOM,False,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,Lower left leg injured,Invalid
117,2015.11.03,USA,UNITED KINGDOM,False,Hawaii,"Kehena Beach, Hawaii",Swimming,Laceration to right ankle,Unprovoked
118,2015.11.01.b,USA,UNITED KINGDOM,False,Florida,"Cocoa Beach, Brevard  County",Wading,Injury to right ankle/calf & hand,Unprovoked
119,2015.11.01.a,MOZAMBIQUE,PORTUGAL,False,Inhambane Province,Maxixe,Fishing,"Arms severely injured, surgically amputated",Unprovoked
120,2015.10.30,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Bald Island,Spearfishing,Minor injury,Unprovoked
121,2015.10.28.a,USA,UNITED KINGDOM,False,Hawaii,"Malaka, Oahu",Body boarding,"Lacerations & puncture wounds to right thigh, calf & ankle",Unprovoked
122,2015.10.25,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,Stil Bay,Surfing,"Lacerations to right calf, knee & hip",Unprovoked
123,2015.10.21,USA,UNITED KINGDOM,False,Florida,"Playalinda Beach, Brevard County",Surfing,Lacerations to left hand,Unprovoked
124,2015.10.19,USA,UNITED KINGDOM,False,Florida,"Deerfield Beach, Broward County",Surfing,Left foot bitten,Unprovoked
125,2015.10.17.c,MOZAMBIQUE,PORTUGAL,True,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,FATAL,Unprovoked
126,2015.10.17.b,USA,UNITED KINGDOM,False,Hawaii,"Waikiki, ",Surfing,Left foot bitten by eel,Invalid
127,2015.10.17.a,USA,UNITED KINGDOM,False,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,Injuries to lower legs,Unprovoked
128,2015.10.13,USA,UNITED KINGDOM,False,California,"Off Leffingwell Landing, San Luis Obispo County",Kayak Fishing,"No injury, shark rammed kayak repeatedly",Boat
129,2015.10.09.b,USA,UNITED KINGDOM,False,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,Laceration to forearm,Unprovoked
130,2015.10.09.a,USA,UNITED KINGDOM,False,Hawaii,"Leftovers, Oahu",Surfing,"Left leg severed below the knee, defense injuries to left hand",Unprovoked
131,2015.10.08,MOZAMBIQUE,PORTUGAL,False,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,"Arm severely injured, surgically amputated",Unprovoked
132,2015.10.07,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Pyramids Beach,Surfing,Foot injured,Unprovoked
133,2015.10.05.b,USA,UNITED KINGDOM,False,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,2 lacerations to ankle,Unprovoked
134,2015.10.05.a,USA,UNITED KINGDOM,False,Texas,Galveston,Wading,Foot & hands bitten,Unprovoked
135,2015.10.04,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Severe lacerations to left hand,Unprovoked
136,2015.09.29,USA,UNITED KINGDOM,False,Florida,"Vilano Beach, St.  Johns County",Surfing,"Laceration to heel, puncture wounds to dorsum of foot",Unprovoked
137,2015.09.26,AUSTRALIA,UNITED KINGDOM,False,Queensland,"Russel Island, Frankland Group",Snorkeling,Laceration to leg,Unprovoked
138,2015.09.24,USA,UNITED KINGDOM,False,California,"Horseshoe Rock, Santa Barbara County",Kayak fishing,"No injury, kayak damaged",Unprovoked
139,2015.09.20.d,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor injury to left ankle,Unprovoked
140,2015.09.20.c,USA,UNITED KINGDOM,False,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,Severe laceration to left leg,Unprovoked
141,2015.09.20.b,USA,UNITED KINGDOM,False,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,Significant injuries to leg,Unprovoked
142,2015.09.20.a,USA,UNITED KINGDOM,False,Florida,"Vilano Beach, St.  Johns County",Photographing fish,Injury to right hand / wrist,Unprovoked
143,2015.09.18,USA,UNITED KINGDOM,False,Florida,"Big Talbot Island, Duval County",Swimming,Lacerations to calf,Unprovoked
144,2015.09.17,USA,UNITED KINGDOM,False,Florida,"Jacksonville Beach, Duval County",Surfing,Injury to right foot,Unprovoked
145,2015.09.08,AUSTRALIA,UNITED KINGDOM,False,New South Wales,North Shelly Beach,Surfing,Minor laceration to hand,Unprovoked
146,2015.09.06,USA,UNITED KINGDOM,False,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,"No injury, shark struck board, tossing her into the sea",Unprovoked
147,2015.09.05,USA,UNITED KINGDOM,False,California,"Deer Creek Beach, Ventura County",Kayak Fishing,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,Provoked
148,2015.09.04,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Hallidays Point,Surf-skiing,Inuries to lower left leg & ankle,Unprovoked
149,2015.09.03,USA,UNITED KINGDOM,False,South Carolina,"Myrtle Beach, Horry County",,Right foot bitten,Unprovoked
150,2015.09.01,THAILAND,OTHER,False,Phuket,Karon Beach,Wading,Left foot & ankle bitten,Unprovoked
151,2015.09.00,FIJI,UNITED KINGDOM,False,,,Spearfishing,Leg bitten,Unprovoked
152,2015.08.29.b,USA,UNITED KINGDOM,False,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,"No injury, surfboard bitten",Unprovoked
153,2015.08.29.a,USA,UNITED KINGDOM,False,California,"Morro Bay, San Luis Obispo County",Surfing,"No injury, shark struk sufer's leg and his board",Unprovoked
154,2015.08.22.b,USA,UNITED KINGDOM,False,Florida,"Cocoa Beach, Brevard  County",,Wound to right lower leg,Invalid
155,2015.08.22.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Lighthouse Beach,Surfing,Severe laceration to left buttock & thigh,Unprovoked
156,2015.08.20,USA,UNITED KINGDOM,False,South Carolina,"Murrells Inlet, Georgetown County",Surfing,"Injuries to left calf, arm and hand",Unprovoked
157,2015.08.19,USA,UNITED KINGDOM,False,Florida,"Jacksonville Beach, Duval County",Walking,Lacerations to right leg,Unprovoked
158,2015.08.18.b,USA,UNITED KINGDOM,False,California,Santa Barbara County,Kayak Fishing,"No injury, kayak bitten",Unprovoked
159,2015.08.18.a,SPAIN,SPAIN,False,Alicante,"Poniente Beach, Benidorm",Swimming,Minor injury when he attempted to touch a fish. ,Invalid
160,2015.08.10,USA,UNITED KINGDOM,False,California,Cortes Bank,Spearfishing,Right hand bitten  PROVOKED INCIDENT,Provoked
161,2015.07.31,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Evans Head,Surfing,"Lacerations and puncture wounds to hip, thigh, arm and hand",Unprovoked
162,2015.07.26.b,USA,UNITED KINGDOM,False,Florida,"Daytona Beach, Volusia County",Surfing,Minor injury to sole of foot,Unprovoked
163,2015.07.26.a,USA,UNITED KINGDOM,False,South Carolina,"Edisto Beach, Colleton County",Floating,"2' cut to dorsum of foot, 2 puncture wounds to sole",Invalid
164,2015.07.25,AUSTRALIA,UNITED KINGDOM,True,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,FATAL,Unprovoked
